country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sao Tome and Principe,142010000.2363325,159000001.69873235,112340001.3446808,147819999.57561505,123510000.25868428,119050002.09435835,92829999.82684854,163079996.5672195,137159999.74310392,105440002.31474634,179479997.7838994,231340005.05506998,170309998.82519257,167669998.4781445,131370000.98451975,172640000.53890055,149179999.15406117,130770001.32575622,153840000.19356608,148780001.7073752,240620002.23994258,192640007.13452703,200699998.09190625
Senegal,1781400002.3901455,1622929994.571954,1735400023.400783,1785439979.8102684,3991269977.2641063,2497979977.1830444,2970249976.0501127,2612310050.0367584,3270920031.7189097,3103619997.110218,3161719995.7966814,3500219971.854242,3789379985.4181757,3416679966.9340224,4027110014.04003,3123909989.02917,2550029973.693192,3097730015.691369,3576900071.7103524,4497589985.907081,5422910029.739141,4622620045.047248,4559089940.078558
Sierra Leone,723830012.5412633,1303289989.5943708,1474980011.1614168,1266870019.6035194,1292470011.6142635,1174500002.8610227,1290429981.4775589,1954630019.7467215,1098199990.361929,1450390004.8062203,1489679977.096617,1336820017.9636488,1418040006.2855327,1471640006.6223006,3025490053.4413757,3211670018.1830654,2459710021.4362144,1822379993.174227,1715200020.9297981,1839390004.2232118,2413149985.935539,1963939935.7065558,1483469988.152385
Somalia,440300003.6478052,634249989.867211,653410002.1794436,735130003.3554435,809429982.1555614,941030003.7786361,1567810012.7130742,1488960006.6915154,2990109974.8350687,2590269992.996007,1926409991.7300043,3971189970.947806,3640210012.149066,3824039971.0908556,4100759898.092608,4210350050.52015,4354730014.175184,6767890070.233496,6094630028.6725235,6379250056.751074,10647180002.10449,8935640156.26535,6506759915.18424
Sudan,801359988.9837207,778319980.0066657,1281919988.2783005,2644230017.662048,4125699958.562852,7503429880.673062,8183240039.754662,8368020082.339651,9536689968.302856,9253540167.734024,7827959905.836737,6524909966.234126,4897419994.264833,5512729943.927374,3048320006.0874224,3227529948.7672787,2908260049.3878136,2794449929.455293,3459840002.7267694,4600410090.833906,6673740035.476169,10739049974.739555,5566060041.941706
Tanzania,4272149964.392186,5302940060.157324,5222390068.426736,6352000001.676395,6334599945.276982,5332119961.5672245,6455920052.260162,8828089928.802105,6984579935.40913,7876599958.866837,9845310076.173393,8537170112.59124,9552740000.296383,11101420062.549425,8483449969.310317,8626180038.537825,8034329958.364378,8584850204.136229,8412890027.999887,6921569985.568529,7449009982.284159,7784200071.737181,7737519893.910742
Togo,289819994.6731334,188460002.44468454,219410002.771765,220589999.1095067,261739997.32732764,316019996.8107044,303340002.9223412,445669997.1854688,988820002.8948498,1824290020.6893678,1422370012.7415366,1823539990.849794,776670001.0858486,687210007.9189987,653730000.6821742,660119994.9681761,560329994.9057395,1049370000.0364332,986240008.8571017,1109799996.294082,1468209970.3960114,1069560020.9124384,1207240000.3150108
Tunisia,1023130019.1767526,1712300006.6764653,987840000.9609766,1284600024.6107574,1361420014.6570816,1516780003.6370761,1803700014.9860992,1311929999.500514,1413070011.0830371,1898239963.7848136,1998160015.9667447,3681419987.4103084,3955929975.824429,2702090038.880705,3111459979.1765203,2118600016.99254,2643220015.0396676,3192079968.109728,3002699991.1144385,3874389981.4821815,3814839998.6401176,4280900160.0183578,4884600045.338275
Uganda,3445759945.0871353,3087799978.6585617,2880270008.116958,3731399965.584282,4351779979.512101,4217349944.2897816,5643319954.022767,5096000010.110439,5531530136.499568,5205599973.246453,5785269973.400984,5524670009.784393,5458839980.442079,5530799974.672497,5683400082.848969,5614350018.411883,6017790029.831241,7135540144.436068,6673049986.343829,6842449874.505402,9246210228.485983,8195490143.334489,6786749930.728239
Zambia,3082670058.4962993,2123760038.6478004,2991969948.70901,3164210002.7650585,4233769897.7068152,4474629998.929804,5654469985.350964,3514990000.1697283,3840529925.122866,4266810034.587986,3299719983.734191,3664789918.979636,3409549997.7283154,3887000015.452504,3673789967.7231903,2982429964.9819736,3602979990.8827996,3770070002.15352,3527300098.19195,3268539982.0543795,3414019964.851446,3571880052.749072,5134779897.116136
Zimbabwe,814260007.7651434,728300000.3248444,871770007.941872,789569991.8642633,808250002.6747587,1279370014.4104652,1107099992.2901392,1866269977.7279058,2473629956.755787,2968820000.9055443,2718020009.6964846,2732720026.426018,3579099996.440112,2940679973.877966,2728149980.2246695,2722419937.5882754,2475649994.1051006,2611600013.848395,2723029979.512095,2922340047.765523,3408849974.565213,3260679971.9966965,2620199981.7974863
